company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,departure_delay_minutes,ground_time_risk,ground_time_buffer,total_pax,lap_child_count,child_count,basic_economy_pax,stroller_count,load_factor,load_category,child_ratio,basic_econ_ratio,total_ssr_count,unique_pnr_with_ssr,ssr_per_pax,ssr_category,origin_bags,regular_transfer_bags,hot_transfer_bags,Checked,All_Transfers,total_bags,transfer_to_checked_ratio,hot_transfer_pct
UA,1538,2025-08-06,ORD,SAV,2025-08-06 11:05:00+00:00,2025-08-06 14:34:00+00:00,2025-08-06 10:57:00+00:00,2025-08-06 14:09:00+00:00,126,B737-700,Mainline,95,81,43,-8.0,False,52,116,0,3,10,0,92.06349206349206,Very High (>90%),0.02586206896551724,0.08620689655172414,73,68,0.6293103448275862,High SSR,38.0,31.0,0.0,38.0,31.0,69.0,0.8157894736842105,0.0
UA,2138,2025-08-08,ORD,LGA,2025-08-08 14:05:00+00:00,2025-08-08 17:27:00+00:00,2025-08-08 14:01:00+00:00,2025-08-08 17:13:00+00:00,166,B737-800,Mainline,62,87,51,-4.0,False,11,167,0,3,32,0,100.60240963855422,,0.017964071856287425,0.19161676646706588,72,67,0.4311377245508982,High SSR,32.0,20.0,21.0,32.0,41.0,73.0,1.28125,51.21951219512195
G7,4481,2025-08-15,ORD,GRR,2025-08-15 07:00:00+00:00,2025-08-15 09:07:00+00:00,2025-08-15 06:56:00+00:00,2025-08-15 09:01:00+00:00,50,CRJ-550,Express,644,632,29,-4.0,False,615,41,0,0,7,0,82.0,High (75-90%),0.0,0.17073170731707318,17,16,0.4146341463414634,Low SSR,0.0,28.0,9.0,0.0,37.0,37.0,,24.324324324324326
OO,5108,2025-08-14,ORD,SLN,2025-08-14 16:45:00+00:00,2025-08-14 18:50:00+00:00,2025-08-14 16:39:00+00:00,2025-08-14 18:33:00+00:00,50,CRJ-200,Express,85,82,29,-6.0,False,56,47,0,2,2,0,94.0,Very High (>90%),0.0425531914893617,0.0425531914893617,33,32,0.7021276595744681,Low SSR,23.0,15.0,3.0,23.0,18.0,41.0,0.782608695652174,16.666666666666664
YX,3568,2025-08-15,ORD,YYZ,2025-08-15 10:50:00+00:00,2025-08-15 13:42:00+00:00,2025-08-15 10:48:00+00:00,2025-08-15 13:40:00+00:00,76,ERJ-175,Express,75,64,42,-2.0,False,33,83,1,1,5,0,109.21052631578947,,0.012048192771084338,0.060240963855421686,26,22,0.3132530120481928,Low SSR,27.0,15.0,4.0,27.0,19.0,46.0,0.7037037037037037,21.052631578947366
OO,4739,2025-08-03,ORD,GRB,2025-08-03 15:35:00+00:00,2025-08-03 16:48:00+00:00,2025-08-03 15:34:00+00:00,2025-08-03 16:40:00+00:00,50,CRJ-200,Express,69,63,29,-1.0,False,40,61,1,3,6,1,122.0,,0.04918032786885246,0.09836065573770492,31,29,0.5081967213114754,Low SSR,17.0,26.0,9.0,17.0,35.0,52.0,2.0588235294117645,25.71428571428571
UA,664,2025-08-02,ORD,LGA,2025-08-02 16:00:00+00:00,2025-08-02 19:20:00+00:00,2025-08-02 16:01:00+00:00,2025-08-02 19:10:00+00:00,166,B737-800,Mainline,400,59,51,1.0,False,349,198,1,11,34,3,119.27710843373494,,0.05555555555555555,0.1717171717171717,75,71,0.3787878787878788,High SSR,65.0,29.0,0.0,65.0,29.0,94.0,0.4461538461538462,0.0
OO,5517,2025-08-04,ORD,PVD,2025-08-04 18:15:00+00:00,2025-08-04 21:54:00+00:00,2025-08-04 18:14:00+00:00,2025-08-04 21:40:00+00:00,76,ERJ-175,Express,87,86,34,-1.0,False,53,78,0,2,0,2,102.63157894736842,,0.02564102564102564,0.0,18,18,0.23076923076923078,Low SSR,13.0,31.0,1.0,13.0,32.0,45.0,2.4615384615384617,3.125
UA,1156,2025-08-08,ORD,MSY,2025-08-08 19:55:00+00:00,2025-08-08 22:25:00+00:00,2025-08-08 20:14:00+00:00,2025-08-08 22:35:00+00:00,179,B737-900,Mainline,62,61,56,19.0,False,6,215,2,12,37,4,120.11173184357543,,0.05581395348837209,0.17209302325581396,80,74,0.37209302325581395,High SSR,43.0,71.0,7.0,43.0,78.0,121.0,1.813953488372093,8.974358974358974
G7,4387,2025-08-06,ORD,CID,2025-08-06 09:20:00+00:00,2025-08-06 10:40:00+00:00,2025-08-06 09:05:00+00:00,2025-08-06 10:30:00+00:00,50,CRJ-550,Express,75,73,29,-15.0,False,46,67,0,4,0,1,134.0,,0.05970149253731343,0.0,19,19,0.2835820895522388,Low SSR,4.0,38.0,0.0,4.0,38.0,42.0,9.5,0.0
UA,1361,2025-08-11,ORD,STL,2025-08-11 21:20:00+00:00,2025-08-11 22:45:00+00:00,2025-08-11 21:40:00+00:00,2025-08-11 23:34:00+00:00,126,A319-100,Mainline,60,52,43,20.0,False,17,137,0,6,13,0,108.73015873015872,,0.043795620437956206,0.0948905109489051,48,42,0.35036496350364965,High SSR,4.0,71.0,23.0,4.0,94.0,98.0,23.5,24.46808510638298
UA,2323,2025-08-03,ORD,MCO,2025-08-03 09:15:00+00:00,2025-08-03 13:10:00+00:00,2025-08-03 09:09:00+00:00,2025-08-03 12:48:00+00:00,200,A321-2NX,Mainline,97,99,62,-6.0,False,35,297,2,24,14,5,148.5,,0.08080808080808081,0.04713804713804714,55,52,0.18518518518518517,High SSR,144.0,27.0,0.0,144.0,27.0,171.0,0.1875,0.0
OO,5229,2025-08-13,ORD,ILM,2025-08-13 11:59:00+00:00,2025-08-13 15:24:00+00:00,2025-08-13 11:54:00+00:00,2025-08-13 14:59:00+00:00,76,ERJ-175,Express,47,39,34,-5.0,False,13,62,0,2,7,1,81.57894736842105,High (75-90%),0.03225806451612903,0.11290322580645161,16,16,0.25806451612903225,Low SSR,12.0,10.0,1.0,12.0,11.0,23.0,0.9166666666666666,9.090909090909092
YX,3700,2025-08-02,ORD,BNA,2025-08-02 07:25:00+00:00,2025-08-02 09:13:00+00:00,2025-08-02 07:40:00+00:00,2025-08-02 09:15:00+00:00,76,ERJ-175,Express,5,33,34,15.0,True,-29,80,0,1,13,0,105.26315789473684,,0.0125,0.1625,10,10,0.125,Low SSR,21.0,26.0,3.0,21.0,29.0,50.0,1.380952380952381,10.344827586206897
G7,4610,2025-08-15,ORD,XNA,2025-08-15 12:41:00+00:00,2025-08-15 14:35:00+00:00,2025-08-15 12:38:00+00:00,2025-08-15 14:28:00+00:00,50,CRJ-550,Express,59,71,29,-3.0,False,30,52,0,2,2,0,104.0,,0.038461538461538464,0.038461538461538464,16,15,0.3076923076923077,Low SSR,5.0,17.0,6.0,5.0,23.0,28.0,4.6,26.08695652173913
UA,1414,2025-08-13,ORD,BOI,2025-08-13 08:45:00+00:00,2025-08-13 11:43:00+00:00,2025-08-13 08:40:00+00:00,2025-08-13 11:09:00+00:00,150,A320-200,Mainline,59,78,46,-5.0,False,13,158,0,8,12,5,105.33333333333333,,0.05063291139240506,0.0759493670886076,70,67,0.4430379746835443,High SSR,29.0,41.0,22.0,29.0,63.0,92.0,2.1724137931034484,34.92063492063492
UA,1156,2025-08-13,ORD,MSY,2025-08-13 19:55:00+00:00,2025-08-13 22:25:00+00:00,2025-08-13 19:56:00+00:00,2025-08-13 22:17:00+00:00,179,B737-MAX9,Mainline,73,62,56,1.0,False,17,72,0,2,9,1,40.22346368715084,Low (<50%),0.027777777777777776,0.125,80,74,1.1111111111111112,High SSR,20.0,22.0,6.0,20.0,28.0,48.0,1.4,21.428571428571427
UA,247,2025-08-13,ORD,OMA,2025-08-13 12:45:00+00:00,2025-08-13 14:22:00+00:00,2025-08-13 12:38:00+00:00,2025-08-13 14:07:00+00:00,150,A320-200,Mainline,69,86,46,-7.0,False,23,114,0,5,5,0,76.0,High (75-90%),0.043859649122807015,0.043859649122807015,83,80,0.7280701754385965,High SSR,10.0,34.0,17.0,10.0,51.0,61.0,5.1,33.33333333333333
UA,2378,2025-08-08,ORD,LAX,2025-08-08 21:42:00+00:00,2025-08-09 00:15:00+00:00,2025-08-08 21:50:00+00:00,2025-08-08 23:59:00+00:00,200,A321-2NX,Mainline,77,94,62,8.0,False,15,238,1,15,17,5,119.0,,0.06302521008403361,0.07142857142857142,47,44,0.19747899159663865,High SSR,50.0,106.0,0.0,50.0,106.0,156.0,2.12,0.0
OO,5930,2025-08-14,ORD,FAR,2025-08-14 13:20:00+00:00,2025-08-14 15:29:00+00:00,2025-08-14 15:00:00+00:00,2025-08-14 16:49:00+00:00,50,CRJ-200,Express,205,91,29,100.0,False,176,53,2,1,6,0,106.0,,0.018867924528301886,0.11320754716981132,23,22,0.4339622641509434,Low SSR,25.0,21.0,1.0,25.0,22.0,47.0,0.88,4.545454545454546
YX,3628,2025-08-11,ORD,IND,2025-08-11 17:50:00+00:00,2025-08-11 20:03:00+00:00,2025-08-11 17:45:00+00:00,2025-08-11 19:54:00+00:00,76,ERJ-175,Express,45,38,34,-5.0,False,11,76,0,0,5,0,100.0,Very High (>90%),0.0,0.06578947368421052,20,20,0.2631578947368421,Low SSR,30.0,21.0,14.0,30.0,35.0,65.0,1.1666666666666667,40.0
OO,5564,2025-08-01,ORD,SBN,2025-08-01 14:20:00+00:00,2025-08-01 16:18:00+00:00,2025-08-01 14:29:00+00:00,2025-08-01 16:29:00+00:00,50,CRJ-550,Express,57,87,29,9.0,False,28,55,1,1,3,1,110.00000000000001,,0.01818181818181818,0.05454545454545454,29,26,0.5272727272727272,Low SSR,1.0,33.0,2.0,1.0,35.0,36.0,35.0,5.714285714285714
UA,2361,2025-08-13,ORD,LAX,2025-08-13 07:10:00+00:00,2025-08-13 09:40:00+00:00,2025-08-13 07:07:00+00:00,2025-08-13 09:15:00+00:00,234,B757-300,Mainline,662,498,66,-3.0,False,596,143,0,5,7,1,61.111111111111114,Medium (50-75%),0.03496503496503497,0.04895104895104895,46,45,0.32167832167832167,High SSR,55.0,30.0,17.0,55.0,47.0,102.0,0.8545454545454545,36.17021276595745
YX,3520,2025-08-05,ORD,CVG,2025-08-05 21:16:00+00:00,2025-08-05 23:46:00+00:00,2025-08-05 21:16:00+00:00,2025-08-05 23:30:00+00:00,76,ERJ-175,Express,162,166,34,0.0,False,128,71,2,4,10,1,93.42105263157895,Very High (>90%),0.056338028169014086,0.14084507042253522,13,13,0.18309859154929578,Low SSR,3.0,12.0,16.0,3.0,28.0,31.0,9.333333333333334,57.14285714285714
G7,4546,2025-08-06,ORD,AVP,2025-08-06 18:35:00+00:00,2025-08-06 21:43:00+00:00,2025-08-06 19:14:00+00:00,2025-08-06 22:06:00+00:00,50,CRJ-550,Express,-5,23,29,39.0,True,-34,46,0,0,2,0,92.0,Very High (>90%),0.0,0.043478260869565216,18,17,0.391304347826087,Low SSR,8.0,20.0,0.0,8.0,20.0,28.0,2.5,0.0
OO,5362,2025-08-14,ORD,MKE,2025-08-14 21:40:00+00:00,2025-08-14 22:45:00+00:00,2025-08-14 21:35:00+00:00,2025-08-14 22:20:00+00:00,50,CRJ-200,Express,90,66,29,-5.0,False,61,60,0,3,5,1,120.0,,0.05,0.08333333333333333,32,31,0.5333333333333333,Low SSR,17.0,38.0,0.0,17.0,38.0,55.0,2.235294117647059,0.0
OO,5251,2025-08-03,ORD,ASE,2025-08-03 19:35:00+00:00,2025-08-03 21:44:00+00:00,2025-08-03 19:43:00+00:00,2025-08-03 22:00:00+00:00,70,ERJ-175,Express,68,91,34,8.0,False,34,73,0,4,8,1,104.28571428571429,,0.0547945205479452,0.1095890410958904,23,21,0.3150684931506849,Low SSR,30.0,15.0,13.0,30.0,28.0,58.0,0.9333333333333333,46.42857142857143
G7,4429,2025-08-07,ORD,FSD,2025-08-07 15:52:00+00:00,2025-08-07 17:44:00+00:00,2025-08-07 15:51:00+00:00,2025-08-07 17:36:00+00:00,50,CRJ-550,Express,57,78,29,-1.0,False,28,50,0,1,0,0,100.0,Very High (>90%),0.02,0.0,24,22,0.48,Low SSR,3.0,18.0,3.0,3.0,21.0,24.0,7.0,14.285714285714285
UA,1899,2025-08-01,ORD,YYC,2025-08-01 20:05:00+00:00,2025-08-01 22:53:00+00:00,2025-08-01 21:19:00+00:00,2025-08-01 23:47:00+00:00,126,A319-100,Mainline,70,102,52,74.0,False,18,178,0,13,14,4,141.26984126984127,,0.07303370786516854,0.07865168539325842,48,46,0.2696629213483146,High SSR,51.0,36.0,2.0,51.0,38.0,89.0,0.7450980392156863,5.263157894736842
UA,2137,2025-08-03,ORD,SLC,2025-08-03 09:02:00+00:00,2025-08-03 11:40:00+00:00,2025-08-03 09:00:00+00:00,2025-08-03 11:40:00+00:00,166,B737-800,Mainline,68,76,51,-2.0,False,17,180,1,9,16,4,108.43373493975903,,0.05,0.08888888888888889,62,61,0.34444444444444444,High SSR,31.0,46.0,12.0,31.0,58.0,89.0,1.8709677419354838,20.689655172413794
UA,1576,2025-08-10,ORD,LGA,2025-08-10 20:00:00+00:00,2025-08-10 23:22:00+00:00,2025-08-10 20:00:00+00:00,2025-08-10 23:34:00+00:00,166,B737-800,Mainline,80,73,51,0.0,False,29,170,0,2,34,0,102.40963855421687,,0.011764705882352941,0.2,19,17,0.11176470588235295,Low SSR,37.0,13.0,0.0,37.0,13.0,50.0,0.35135135135135137,0.0
UA,2004,2025-08-11,ORD,SYR,2025-08-11 13:45:00+00:00,2025-08-11 16:44:00+00:00,2025-08-11 13:53:00+00:00,2025-08-11 16:39:00+00:00,150,A320-200,Mainline,84,102,46,8.0,False,38,171,3,7,11,3,113.99999999999999,,0.04093567251461988,0.06432748538011696,49,46,0.28654970760233917,High SSR,19.0,64.0,18.0,19.0,82.0,101.0,4.315789473684211,21.951219512195124
UA,343,2025-08-02,ORD,SFO,2025-08-02 10:53:00+00:00,2025-08-02 13:40:00+00:00,2025-08-02 10:52:00+00:00,2025-08-02 13:23:00+00:00,200,A321-2NX,Mainline,1079,1115,62,-1.0,False,1017,274,1,22,14,4,137.0,,0.08029197080291971,0.051094890510948905,104,99,0.3795620437956204,High SSR,94.0,34.0,0.0,94.0,34.0,128.0,0.3617021276595745,0.0
UA,2370,2025-08-11,ORD,BOS,2025-08-11 14:28:00+00:00,2025-08-11 18:06:00+00:00,2025-08-11 14:28:00+00:00,2025-08-11 18:06:00+00:00,179,B737-900,Mainline,79,69,56,0.0,False,23,201,1,5,10,2,112.29050279329608,,0.024875621890547265,0.04975124378109453,81,77,0.40298507462686567,High SSR,75.0,56.0,1.0,75.0,57.0,132.0,0.76,1.7543859649122806
UA,2189,2025-08-01,ORD,LGA,2025-08-01 13:00:00+00:00,2025-08-01 16:20:00+00:00,2025-08-01 12:56:00+00:00,2025-08-01 15:56:00+00:00,166,B737-MAX8,Mainline,96,94,60,-4.0,False,36,186,1,6,30,1,112.04819277108433,,0.03225806451612903,0.16129032258064516,62,62,0.3333333333333333,High SSR,56.0,5.0,2.0,56.0,7.0,63.0,0.125,28.57142857142857
UA,481,2025-08-12,ORD,RNO,2025-08-12 19:52:00+00:00,2025-08-12 22:19:00+00:00,2025-08-12 22:01:00+00:00,2025-08-13 00:27:00+00:00,126,B737-700,Mainline,95,51,43,129.0,False,52,77,0,3,10,0,61.111111111111114,Medium (50-75%),0.03896103896103896,0.12987012987012986,54,53,0.7012987012987013,High SSR,23.0,49.0,1.0,23.0,50.0,73.0,2.1739130434782608,2.0
UA,1209,2025-08-15,ORD,EWR,2025-08-15 21:25:00+00:00,2025-08-16 00:46:00+00:00,2025-08-15 21:30:00+00:00,2025-08-16 00:46:00+00:00,179,B737-900,Mainline,67,55,56,5.0,False,11,218,1,13,58,5,121.78770949720669,,0.05963302752293578,0.26605504587155965,65,59,0.2981651376146789,High SSR,51.0,52.0,19.0,51.0,71.0,122.0,1.392156862745098,26.76056338028169
UA,2177,2025-08-15,ORD,MSN,2025-08-15 14:00:00+00:00,2025-08-15 15:03:00+00:00,2025-08-15 14:30:00+00:00,2025-08-15 15:36:00+00:00,126,A319-100,Mainline,9,42,43,30.0,True,-34,138,2,4,5,1,109.52380952380953,,0.028985507246376812,0.036231884057971016,30,30,0.21739130434782608,Low SSR,0.0,65.0,21.0,0.0,86.0,86.0,,24.418604651162788
UA,909,2025-08-13,ORD,AMS,2025-08-13 18:15:00+00:00,2025-08-14 09:20:00+00:00,2025-08-13 18:49:00+00:00,2025-08-14 09:24:00+00:00,243,B787-8,Mainline,280,319,95,34.0,False,185,262,1,6,0,0,107.81893004115226,,0.022900763358778626,0.0,97,90,0.3702290076335878,High SSR,97.0,123.0,0.0,97.0,123.0,220.0,1.268041237113402,0.0
UA,1584,2025-08-05,ORD,LAX,2025-08-05 10:50:00+00:00,2025-08-05 13:23:00+00:00,2025-08-05 10:50:00+00:00,2025-08-05 13:03:00+00:00,200,A321-2NX,Mainline,711,739,62,0.0,False,649,265,5,19,28,4,132.5,,0.07169811320754717,0.10566037735849057,55,53,0.20754716981132076,High SSR,146.0,13.0,0.0,146.0,13.0,159.0,0.08904109589041095,0.0
YX,3690,2025-08-13,ORD,IND,2025-08-13 15:40:00+00:00,2025-08-13 17:53:00+00:00,2025-08-13 15:31:00+00:00,2025-08-13 17:36:00+00:00,76,ERJ-175,Express,57,45,34,-9.0,False,23,68,1,0,1,0,89.47368421052632,High (75-90%),0.0,0.014705882352941176,19,19,0.27941176470588236,Low SSR,13.0,34.0,5.0,13.0,39.0,52.0,3.0,12.82051282051282
YX,3542,2025-08-15,ORD,YUL,2025-08-15 17:58:00+00:00,2025-08-15 21:29:00+00:00,2025-08-15 17:53:00+00:00,2025-08-15 21:27:00+00:00,76,ERJ-175,Express,53,71,42,-5.0,False,11,83,1,2,4,1,109.21052631578947,,0.024096385542168676,0.04819277108433735,20,18,0.24096385542168675,Low SSR,22.0,32.0,2.0,22.0,34.0,56.0,1.5454545454545454,5.88235294117647
OO,4791,2025-08-14,ORD,SBN,2025-08-14 10:35:00+00:00,2025-08-14 12:33:00+00:00,2025-08-14 10:27:00+00:00,2025-08-14 12:20:00+00:00,50,CRJ-550,Express,56,32,29,-8.0,False,27,59,0,3,2,2,118.0,,0.05084745762711865,0.03389830508474576,23,22,0.3898305084745763,Low SSR,1.0,12.0,13.0,1.0,25.0,26.0,25.0,52.0
UA,2011,2025-08-11,ORD,YVR,2025-08-11 08:48:00+00:00,2025-08-11 11:33:00+00:00,2025-08-11 09:00:00+00:00,2025-08-11 11:29:00+00:00,150,A320-200,Mainline,67,103,60,12.0,False,7,162,0,5,3,0,108.0,,0.030864197530864196,0.018518518518518517,87,80,0.5370370370370371,High SSR,53.0,68.0,16.0,53.0,84.0,137.0,1.5849056603773586,19.047619047619047
UA,1946,2025-08-15,ORD,LGA,2025-08-15 15:00:00+00:00,2025-08-15 18:20:00+00:00,2025-08-15 14:59:00+00:00,2025-08-15 18:15:00+00:00,166,B737-MAX8,Mainline,105,114,51,-1.0,False,54,196,2,10,40,1,118.07228915662651,,0.05102040816326531,0.20408163265306123,57,56,0.29081632653061223,High SSR,46.0,11.0,1.0,46.0,12.0,58.0,0.2608695652173913,8.333333333333332
OO,5292,2025-08-02,ORD,MTY,2025-08-02 08:45:00+00:00,2025-08-02 11:41:00+00:00,2025-08-02 08:41:00+00:00,2025-08-02 11:46:00+00:00,76,ERJ-175,Express,756,749,42,-4.0,False,714,87,0,4,8,0,114.4736842105263,,0.04597701149425287,0.09195402298850575,48,46,0.5517241379310345,High SSR,47.0,8.0,4.0,47.0,12.0,59.0,0.2553191489361702,33.33333333333333
UA,845,2025-08-12,ORD,GRU,2025-08-12 21:20:00+00:00,2025-08-13 09:30:00+00:00,2025-08-12 23:15:00+00:00,2025-08-13 11:30:00+00:00,318,B787-10,Mainline,300,379,155,115.0,False,145,260,1,11,2,5,81.76100628930818,High (75-90%),0.04230769230769231,0.007692307692307693,212,204,0.8153846153846154,High SSR,72.0,216.0,28.0,72.0,244.0,316.0,3.388888888888889,11.475409836065573
YX,3525,2025-08-13,ORD,YYZ,2025-08-13 16:43:00+00:00,2025-08-13 19:37:00+00:00,2025-08-13 16:41:00+00:00,2025-08-13 19:31:00+00:00,76,ERJ-175,Express,58,78,42,-2.0,False,16,90,0,5,4,1,118.42105263157893,,0.05555555555555555,0.044444444444444446,23,21,0.25555555555555554,Low SSR,21.0,22.0,4.0,21.0,26.0,47.0,1.2380952380952381,15.384615384615385
UA,2677,2025-08-06,ORD,IAD,2025-08-06 17:56:00+00:00,2025-08-06 20:55:00+00:00,2025-08-06 21:10:00+00:00,2025-08-07 00:23:00+00:00,176,B757-200,Mainline,231,412,122,194.0,False,109,160,0,4,8,0,90.9090909090909,Very High (>90%),0.025,0.05,104,99,0.65,High SSR,38.0,31.0,7.0,38.0,38.0,76.0,1.0,18.421052631578945
UA,767,2025-08-13,ORD,DEN,2025-08-13 21:32:00+00:00,2025-08-13 23:22:00+00:00,2025-08-13 22:10:00+00:00,2025-08-13 23:42:00+00:00,200,A321-2NX,Mainline,22,64,62,38.0,True,-40,202,0,5,13,0,101.0,,0.024752475247524754,0.06435643564356436,44,43,0.21782178217821782,High SSR,24.0,55.0,0.0,24.0,55.0,79.0,2.2916666666666665,0.0
