flight_id,company_id,flight_number,scheduled_departure_date_local,scheduled_departure_station_code,scheduled_arrival_station_code,difficulty_score,difficulty_score_scaled,daily_rank,daily_percentile,difficulty_category,ground_time_pressure,is_tight_turnaround,is_very_tight_turnaround,load_factor,bags_per_passenger,transfer_ratio,special_service_ratio,wheelchair_ratio,children_ratio,total_passengers,total_bags,checked_bags,transfer_bags,total_special_requests,wheelchair_requests,total_children,total_lap_children,scheduled_ground_time_minutes,minimum_turn_minutes,departure_delay_minutes,fleet_type,total_seats,haul_type,time_of_day,is_international
UA_2455_2025-08-01_ORD_SAV,UA,2455,2025-08-01,ORD,SAV,0.43252413882828306,68.90383002770395,14,97.68270944741533,Difficult,0.8548387096774194,1,1,1.0,0.4263565891472868,0.06593406593406594,0.015503875968992248,0.011627906976744186,0.09302325581395349,258,110.0,91.0,6.0,4.0,3.0,22,2,53,62,19.0,B737-900,179,Medium,Morning_Peak,0
UA_1659_2025-08-01_ORD_CUN,UA,1659,2025-08-01,ORD,CUN,0.4320435850207877,68.82151355011271,15,97.50445632798575,Difficult,0.9142857142857143,1,1,1.0,0.49795918367346936,0.06086956521739131,0.004081632653061225,0.004081632653061225,0.061224489795918366,245,122.0,115.0,7.0,1.0,1.0,15,0,64,70,7.0,B737-900,179,Medium,Midday,1
UA_944_2025-08-01_ORD_FRA,UA,944,2025-08-01,ORD,FRA,0.4319888339287545,68.81213496030621,16,97.32620320855615,Difficult,1.6129032258064515,0,0,1.0,0.8320802005012531,1.5151515151515151,0.002506265664160401,0.002506265664160401,0.05764411027568922,399,332.0,132.0,200.0,1.0,1.0,21,2,250,155,90.0,B787-10,318,Long,Midday,1
UA_288_2025-08-01_ORD_SNN,UA,288,2025-08-01,ORD,SNN,0.4315998865334701,68.74551020559878,17,97.14795008912655,Difficult,2.8266666666666667,0,0,1.0,0.8362831858407079,1.0375,0.022123893805309734,0.017699115044247787,0.05752212389380531,226,189.0,80.0,83.0,5.0,4.0,12,1,212,75,4.0,B757-200,176,Long,Evening_Peak,1
UA_1996_2025-08-01_ORD_SJU,UA,1996,2025-08-01,ORD,SJU,0.43146174345025967,68.721846982384,18,96.96969696969697,Difficult,1.1451612903225807,0,0,1.0,0.7477477477477478,0.2916666666666667,0.02252252252252252,0.018018018018018018,0.03153153153153153,222,166.0,120.0,35.0,5.0,4.0,6,1,71,62,-1.0,A321-2NX,200,Long,Morning_Peak,1
UA_1363_2025-08-01_ORD_LAX,UA,1363,2025-08-01,ORD,LAX,0.4314381241281608,68.71780110995942,19,96.79144385026738,Difficult,0.1935483870967742,1,1,1.0,0.5311203319502075,0.30434782608695654,0.024896265560165973,0.02074688796680498,0.05394190871369295,241,128.0,92.0,28.0,6.0,5.0,11,2,12,62,22.0,A321-2NX,200,Medium,Midday,0
OO_4748_2025-08-01_ORD_ATW,OO,4748,2025-08-01,ORD,ATW,0.4293835377349092,68.3658606775636,20,96.6131907308378,Difficult,0.10344827586206896,1,1,1.0,1.1346153846153846,4.9,0.057692307692307696,0.057692307692307696,0.057692307692307696,52,59.0,10.0,49.0,3.0,3.0,2,1,3,29,40.0,CRJ-550,50,Short,Evening_Peak,0
UA_219_2025-08-01_ORD_HNL,UA,219,2025-08-01,ORD,HNL,0.4290641565630612,68.31115227100135,21,96.4349376114082,Difficult,1.064516129032258,1,0,1.0,0.7668997668997669,0.6629213483146067,0.013986013986013986,0.013986013986013986,0.07925407925407925,429,329.0,178.0,118.0,6.0,6.0,33,1,165,155,20.0,B787-10,318,Medium,Midday,0
UA_980_2025-08-01_ORD_DUB,UA,980,2025-08-01,ORD,DUB,0.42896423499600367,68.29403620344078,22,96.2566844919786,Difficult,4.2105263157894735,0,0,1.0,0.8377358490566038,0.5205479452054794,0.01509433962264151,0.01509433962264151,0.022641509433962263,265,222.0,146.0,76.0,4.0,4.0,5,1,400,95,34.0,B787-8,243,Long,Evening_Peak,1
UA_1584_2025-08-01_ORD_LAX,UA,1584,2025-08-01,ORD,LAX,0.42517060943540574,67.64420700933634,23,96.07843137254902,Difficult,-0.5967741935483871,1,1,1.0,0.5135135135135135,0.4659090909090909,0.007722007722007722,0.007722007722007722,0.05791505791505792,259,133.0,88.0,41.0,2.0,2.0,15,0,-37,62,76.0,A321-2NX,200,Medium,Midday,0
UA_2133_2025-08-01_ORD_EWR,UA,2133,2025-08-01,ORD,EWR,0.4202361043928025,66.79895083317491,24,95.90017825311944,Difficult,0.9016393442622951,1,1,1.0,0.7487437185929648,0.2767857142857143,0.02512562814070352,0.020100502512562814,0.05025125628140704,199,149.0,112.0,31.0,5.0,4.0,10,0,110,122,107.0,B757-200,176,Medium,Midday,0
UA_1899_2025-08-01_ORD_YYC,UA,1899,2025-08-01,ORD,YYC,0.41473392673320025,65.85645516056687,25,95.72192513368985,Difficult,1.3461538461538463,0,0,1.0,0.5,0.7058823529411765,0.05056179775280899,0.0449438202247191,0.07303370786516854,178,89.0,51.0,36.0,9.0,8.0,13,0,70,52,74.0,A319-100,126,Medium,Evening_Peak,1
UA_1761_2025-08-01_ORD_FAT,UA,1761,2025-08-01,ORD,FAT,0.41250133147230394,65.47402269432182,26,95.54367201426025,Difficult,-0.23255813953488372,1,1,1.0,0.6875,1.2,0.006944444444444444,0.006944444444444444,0.041666666666666664,144,99.0,45.0,54.0,1.0,1.0,6,0,-10,43,71.0,B737-700,126,Medium,Evening_Peak,0
UA_2148_2025-08-01_ORD_SAT,UA,2148,2025-08-01,ORD,SAT,0.41098858138170735,65.21489612620083,27,95.36541889483065,Difficult,0.9782608695652174,1,1,1.0,0.5773809523809523,4.769230769230769,0.005952380952380952,0.005952380952380952,0.047619047619047616,168,97.0,13.0,62.0,1.0,1.0,8,0,45,46,62.0,A320-200,150,Medium,Evening_Peak,0
YX_3536_2025-08-01_ORD_YUL,YX,3536,2025-08-01,ORD,YUL,0.41081133642414724,65.18453494635044,28,95.18716577540107,Difficult,-0.5238095238095238,1,1,1.0,0.6666666666666666,0.8148148148148148,0.02564102564102564,0.02564102564102564,0.01282051282051282,78,52.0,27.0,22.0,2.0,2.0,1,0,-22,42,69.0,ERJ-175,76,Medium,Morning_Peak,1
UA_609_2025-08-01_ORD_PHX,UA,609,2025-08-01,ORD,PHX,0.4095274185601206,64.96460620073505,29,95.00891265597147,Difficult,0.6071428571428571,1,1,1.0,0.6494845360824743,0.6447368421052632,0.020618556701030927,0.015463917525773196,0.05670103092783505,194,126.0,76.0,49.0,4.0,3.0,10,1,34,56,18.0,B737-900,179,Medium,Midday,0
UA_422_2025-08-01_ORD_ATH,UA,422,2025-08-01,ORD,ATH,0.4093161846822164,64.9284228878452,30,94.8306595365419,Difficult,1.1935483870967742,0,0,1.0,0.6738544474393531,0.66,0.0026954177897574125,0.0026954177897574125,0.04582210242587601,371,250.0,150.0,99.0,1.0,1.0,16,1,185,155,9.0,B787-10,318,Long,Midday,1
OO_5790_2025-08-01_ORD_CRW,OO,5790,2025-08-01,ORD,CRW,0.40649594335456324,64.44532957253128,31,94.6524064171123,Difficult,-0.2413793103448276,1,1,1.0,0.8518518518518519,1.5,0.037037037037037035,0.037037037037037035,0.05555555555555555,54,46.0,18.0,27.0,2.0,2.0,2,1,-7,29,54.0,CRJ-200,50,Medium,Evening_Peak,0
UA_695_2025-08-01_ORD_SJU,UA,695,2025-08-01,ORD,SJU,0.4051626610182172,64.21694493828052,32,94.4741532976827,Difficult,1.6607142857142858,0,0,1.0,0.47435897435897434,1.16,0.02564102564102564,0.02564102564102564,0.06837606837606838,234,111.0,50.0,58.0,6.0,6.0,13,3,93,56,13.0,B737-MAX9,179,Long,Evening_Peak,1
UA_2182_2025-08-01_ORD_PHL,UA,2182,2025-08-01,ORD,PHL,0.40500049887222384,64.18916736904976,33,94.29590017825312,Difficult,0.391304347826087,1,1,1.0,0.5053191489361702,0.3194444444444444,0.015957446808510637,0.015957446808510637,0.07446808510638298,188,95.0,72.0,23.0,3.0,3.0,12,2,18,46,22.0,A320-200,150,Medium,Midday,0
OO_5376_2025-08-01_ORD_LEX,OO,5376,2025-08-01,ORD,LEX,0.4045593816568252,64.11360618357975,34,94.11764705882352,Difficult,-4.676470588235294,1,1,1.0,0.972972972972973,5.545454545454546,0.04054054054054054,0.04054054054054054,0.04054054054054054,74,72.0,11.0,61.0,3.0,3.0,3,0,-159,34,189.0,ERJ-175,70,Medium,Midday,0
UA_769_2025-08-01_ORD_BCN,UA,769,2025-08-01,ORD,BCN,0.39799650968728967,62.98941885015673,35,93.93939393939394,Difficult,1.3666666666666667,0,0,1.0,0.5512048192771084,0.7941176470588235,0.02108433734939759,0.02108433734939759,0.08132530120481928,332,183.0,102.0,81.0,7.0,7.0,25,2,205,150,-3.0,B787-8,243,Long,Off_Peak,1
UA_929_2025-08-01_ORD_LHR,UA,929,2025-08-01,ORD,LHR,0.3941136642379132,62.32430673276505,36,93.76114081996435,Difficult,1.9310344827586208,0,0,1.0,0.7586206896551724,0.54,0.019704433497536946,0.019704433497536946,0.059113300492610835,203,154.0,100.0,54.0,4.0,4.0,11,1,280,145,23.0,B767-300,167,Long,Midday,1
UA_2488_2025-08-01_ORD_LGA,UA,2488,2025-08-01,ORD,LGA,0.39302320898922233,62.137517171132075,37,93.58288770053476,Difficult,0.3333333333333333,1,1,1.0,0.38,0.1076923076923077,0.02,0.02,0.055,200,76.0,65.0,7.0,4.0,4.0,10,1,17,51,34.0,B737-800,166,Medium,Midday,0
UA_3_2025-08-01_ORD_ZRH,UA,3,2025-08-01,ORD,ZRH,0.3921698232988102,61.99133644596494,38,93.40463458110517,Difficult,1.2758620689655173,0,0,1.0,0.9378531073446328,1.2857142857142858,0.011299435028248588,0.0,0.062146892655367235,177,166.0,70.0,90.0,2.0,0.0,11,0,185,145,-12.0,B767-300,167,Long,Midday,1
UA_2616_2025-08-01_ORD_PDX,UA,2616,2025-08-01,ORD,PDX,0.39056898440137094,61.717120703267845,39,93.22638146167557,Difficult,0.8431372549019608,1,1,1.0,0.4790697674418605,1.0,0.004651162790697674,0.004651162790697674,0.07906976744186046,215,103.0,48.0,48.0,1.0,1.0,16,1,43,51,21.0,B737-800,166,Medium,Midday,0
UA_380_2025-08-01_ORD_JAX,UA,380,2025-08-01,ORD,JAX,0.39019327242970786,61.65276311081143,40,93.04812834224599,Difficult,0.5,1,1,1.0,0.5562913907284768,0.8043478260869565,0.019867549668874173,0.006622516556291391,0.046357615894039736,151,84.0,46.0,37.0,3.0,1.0,7,0,23,46,5.0,A320-200,150,Medium,Midday,0
UA_2207_2025-08-01_ORD_OMA,UA,2207,2025-08-01,ORD,OMA,0.3871134746638795,61.12520906832509,41,92.8698752228164,Difficult,0.26785714285714285,1,1,1.0,0.6183574879227053,3.2758620689655173,0.0,0.0,0.04830917874396135,207,128.0,29.0,95.0,0.0,0.0,9,1,15,56,29.0,B737-MAX9,179,Medium,Midday,0
UA_1178_2025-08-01_ORD_ORF,UA,1178,2025-08-01,ORD,ORF,0.3863421447066387,60.99308408221459,42,92.6916221033868,Difficult,1.0084033613445378,1,0,1.0,0.658008658008658,1.9803921568627452,0.012987012987012988,0.012987012987012988,0.06060606060606061,231,152.0,51.0,101.0,3.0,3.0,12,2,120,119,4.0,B737-900,179,Medium,Evening_Peak,0
UA_909_2025-08-01_ORD_AMS,UA,909,2025-08-01,ORD,AMS,0.38592400331437776,60.92145854099702,43,92.51336898395722,Difficult,33.26315789473684,0,0,1.0,0.8534798534798534,1.9125,0.02197802197802198,0.02197802197802198,0.04395604395604396,273,233.0,80.0,153.0,6.0,6.0,11,1,3160,95,27.0,B787-8,243,Long,Evening_Peak,1
UA_416_2025-08-01_ORD_MXP,UA,416,2025-08-01,ORD,MXP,0.3857326734111172,60.88868467998785,44,92.33511586452762,Difficult,3.033333333333333,0,0,1.0,0.6771929824561403,2.1639344262295084,0.014035087719298246,0.014035087719298246,0.05263157894736842,285,193.0,61.0,132.0,4.0,4.0,12,3,455,150,25.0,B787-8,243,Long,Off_Peak,1
UA_1502_2025-08-01_ORD_RDU,UA,1502,2025-08-01,ORD,RDU,0.3847178013542738,60.71484214326851,45,92.15686274509804,Difficult,-0.7678571428571429,1,1,1.0,0.5824742268041238,0.8596491228070176,0.005154639175257732,0.005154639175257732,0.04639175257731959,194,113.0,57.0,49.0,1.0,1.0,7,2,-43,56,128.0,B737-900,179,Medium,Midday,0
UA_2635_2025-08-01_ORD_CLT,UA,2635,2025-08-01,ORD,CLT,0.38271071057455974,60.371037473291935,46,91.97860962566845,Difficult,0.46511627906976744,1,1,1.0,0.11486486486486487,0.6,0.02027027027027027,0.02027027027027027,0.05405405405405406,148,17.0,10.0,6.0,3.0,3.0,7,1,20,43,6.0,B737-700,126,Long,Midday,0
UA_1324_2025-08-01_ORD_SFO,UA,1324,2025-08-01,ORD,SFO,0.38211746180097367,60.26941690840357,47,91.80035650623886,Difficult,1.3548387096774193,0,0,1.0,0.7063829787234043,0.9506172839506173,0.03404255319148936,0.029787234042553193,0.05531914893617021,235,166.0,81.0,77.0,8.0,7.0,12,1,84,62,10.0,A321-2NX,200,Medium,Evening_Peak,0
UA_1270_2025-08-01_ORD_PUJ,UA,1270,2025-08-01,ORD,PUJ,0.3749338217677011,59.038895092533515,48,91.62210338680927,Difficult,1.1142857142857143,0,0,1.0,0.5495495495495496,0.3707865168539326,0.013513513513513514,0.013513513513513514,0.05855855855855856,222,122.0,89.0,33.0,3.0,3.0,13,0,78,70,-7.0,B737-900,179,Long,Midday,1
YX_3716_2025-08-01_ORD_CMH,YX,3716,2025-08-01,ORD,CMH,0.37372544346329056,58.83190589784751,49,91.44385026737967,Difficult,0.9,1,1,1.0,0.7011494252873564,2.210526315789474,0.022988505747126436,0.022988505747126436,0.04597701149425287,87,61.0,19.0,42.0,2.0,2.0,4,0,63,70,114.0,ERJ-175,76,Medium,Evening_Peak,0
UA_764_2025-08-01_ORD_YYC,UA,764,2025-08-01,ORD,YYC,0.3716677340996821,58.47943051615905,50,91.26559714795009,Difficult,1.4038461538461537,0,0,1.0,0.5029239766081871,0.1746031746031746,0.023391812865497075,0.023391812865497075,0.05847953216374269,171,86.0,63.0,11.0,4.0,4.0,10,0,73,52,-5.0,A319-100,126,Medium,Morning_Peak,1
UA_359_2025-08-01_ORD_MEX,UA,359,2025-08-01,ORD,MEX,0.3703581582135406,58.25510667894412,51,91.0873440285205,Difficult,1.55,0,0,1.0,0.7724550898203593,0.32989690721649484,0.023952095808383235,0.023952095808383235,0.04790419161676647,167,129.0,97.0,32.0,4.0,4.0,6,2,93,60,-4.0,A320-200,150,Medium,Midday,1
UA_1878_2025-08-01_ORD_SFO,UA,1878,2025-08-01,ORD,SFO,0.36801310850985397,57.85341132584727,52,90.9090909090909,Difficult,1.0806451612903225,1,0,1.0,0.4921875,0.1958762886597938,0.01171875,0.01171875,0.06640625,256,126.0,97.0,19.0,3.0,3.0,13,4,67,62,5.0,A321-2NX,200,Medium,Midday,0
UA_920_2025-08-01_ORD_LHR,UA,920,2025-08-01,ORD,LHR,0.36675472134261794,57.637855861636545,53,90.73083778966132,Difficult,12.10344827586207,0,0,1.0,0.6947368421052632,0.23469387755102042,0.005263157894736842,0.005263157894736842,0.04736842105263158,190,132.0,98.0,23.0,1.0,1.0,9,0,1755,145,-2.0,B767-300,167,Long,Evening_Peak,1
UA_1580_2025-08-01_ORD_YVR,UA,1580,2025-08-01,ORD,YVR,0.36672022260633313,57.631946399661594,54,90.55258467023172,Difficult,1.3846153846153846,0,0,1.0,0.5679611650485437,0.8518518518518519,0.009708737864077669,0.009708737864077669,0.05825242718446602,206,117.0,54.0,46.0,2.0,2.0,12,0,90,65,45.0,B737-800,166,Medium,Evening_Peak,1
UA_1144_2025-08-01_ORD_ONT,UA,1144,2025-08-01,ORD,ONT,0.3665167597731347,57.597094228087045,55,90.37433155080214,Difficult,1.4705882352941178,0,0,1.0,0.7134831460674157,1.627906976744186,0.05056179775280899,0.05056179775280899,0.0449438202247191,178,127.0,43.0,70.0,9.0,9.0,7,1,75,51,40.0,B737-800,166,Medium,Evening_Peak,0
UA_468_2025-08-01_ORD_IAH,UA,468,2025-08-01,ORD,IAH,0.3656272566693236,57.44472676960443,56,90.19607843137256,Difficult,6.910714285714286,0,0,1.0,0.730593607305936,0.11888111888111888,0.0547945205479452,0.0547945205479452,0.0547945205479452,219,160.0,143.0,17.0,12.0,12.0,10,2,387,56,2.0,B737-900,179,Medium,Morning_Peak,0
UA_1347_2025-08-01_ORD_FLL,UA,1347,2025-08-01,ORD,FLL,0.36555552432201,57.432439375210485,57,90.01782531194296,Difficult,1.3725490196078431,0,0,1.0,0.5309278350515464,0.5081967213114754,0.030927835051546393,0.030927835051546393,0.07216494845360824,194,103.0,61.0,31.0,6.0,6.0,11,3,70,51,11.0,B737-800,166,Long,Evening_Peak,0
OO_5131_2025-08-01_ORD_CMX,OO,5131,2025-08-01,ORD,CMX,0.36532635055500273,57.39318304852632,58,89.83957219251337,Difficult,0.7586206896551724,1,1,1.0,0.9807692307692307,0.8214285714285714,0.019230769230769232,0.019230769230769232,0.057692307692307696,52,51.0,28.0,23.0,1.0,1.0,2,1,22,29,45.0,CRJ-200,50,Medium,Midday,0
UA_1612_2025-08-01_ORD_MEM,UA,1612,2025-08-01,ORD,MEM,0.3651830310992062,57.3686331384279,59,89.66131907308377,Difficult,2.4186046511627906,0,0,1.0,0.6118421052631579,2.576923076923077,0.046052631578947366,0.046052631578947366,0.06578947368421052,152,93.0,26.0,67.0,7.0,7.0,8,2,104,43,7.0,A319-100,126,Medium,Evening_Peak,0
UA_265_2025-08-01_ORD_YYZ,UA,265,2025-08-01,ORD,YYZ,0.3647988222284322,57.302820069406,60,89.48306595365419,Difficult,1.3269230769230769,0,0,0.9841269841269841,0.5564516129032258,0.696969696969697,0.03225806451612903,0.03225806451612903,0.016129032258064516,124,69.0,33.0,23.0,4.0,4.0,1,1,69,52,2.0,A319-100,126,Medium,Evening_Peak,1
UA_1421_2025-08-01_ORD_FLL,UA,1421,2025-08-01,ORD,FLL,0.36000498026049454,56.48165877846457,61,89.3048128342246,Difficult,6.532258064516129,0,0,1.0,0.4458874458874459,0.16470588235294117,0.025974025974025976,0.025974025974025976,0.05627705627705628,231,103.0,85.0,14.0,6.0,6.0,13,0,405,62,-6.0,A321-2NX,200,Long,Morning_Peak,0
UA_2389_2025-08-01_ORD_RSW,UA,2389,2025-08-01,ORD,RSW,0.3595101343295601,56.39689413119814,62,89.12655971479501,Difficult,1.3214285714285714,0,0,1.0,0.48878923766816146,0.3625,0.04484304932735426,0.04484304932735426,0.06278026905829596,223,109.0,80.0,29.0,10.0,10.0,13,1,74,56,65.0,B737-900,179,Long,Midday,0
G7_4599_2025-08-01_ORD_BHM,G7,4599,2025-08-01,ORD,BHM,0.35844404737055646,56.214278736413256,63,88.94830659536542,Difficult,-0.896551724137931,1,1,0.96,0.6875,4.5,0.020833333333333332,0.020833333333333332,0.020833333333333332,48,33.0,6.0,27.0,1.0,1.0,1,0,-26,29,114.0,CRJ-550,50,Medium,Evening_Peak,0
UA_938_2025-08-01_ORD_LHR,UA,938,2025-08-01,ORD,LHR,0.3580904871705944,56.1537156322959,64,88.77005347593582,Difficult,1.6896551724137931,0,0,1.0,0.7414634146341463,0.2982456140350877,0.00975609756097561,0.004878048780487805,0.06341463414634146,205,152.0,114.0,34.0,2.0,1.0,13,0,245,145,1.0,B767-300,167,Long,Off_Peak,1
UA_2635_2025-08-01_ORD_CLT,UA,2635,2025-08-01,ORD,CLT,0.3577107105745597,56.08866178989664,65,88.59180035650624,Difficult,0.46511627906976744,1,1,1.0,0.11486486486486487,0.6,0.02027027027027027,0.02027027027027027,0.05405405405405406,148,17.0,10.0,6.0,3.0,3.0,7,1,20,43,0.0,B737-700,126,Short,Evening_Peak,0
OO_5314_2025-08-01_ORD_LNK,OO,5314,2025-08-01,ORD,LNK,0.35726355080911365,56.01206554565108,66,88.41354723707666,Difficult,-1.3793103448275863,1,1,0.7,0.8,1.125,0.05714285714285714,0.05714285714285714,0.0,35,28.0,8.0,9.0,2.0,2.0,0,0,-40,29,243.0,CRJ-550,50,Medium,Evening_Peak,0
UA_1387_2025-08-01_ORD_SFO,UA,1387,2025-08-01,ORD,SFO,0.35625055727379845,55.83854479032826,67,88.23529411764706,Difficult,2.053763440860215,0,0,1.0,0.578088578088578,0.35365853658536583,0.013986013986013986,0.011655011655011656,0.04195804195804196,429,248.0,164.0,58.0,6.0,5.0,17,1,191,93,-1.0,B777-2HD,364,Medium,Morning_Peak,0
UA_912_2025-08-01_ORD_KEF,UA,912,2025-08-01,ORD,KEF,0.3553196744976538,55.67908919974213,68,88.05704099821747,Difficult,2.0,0,0,1.0,0.7198067632850241,3.1724137931034484,0.00966183574879227,0.00966183574879227,0.057971014492753624,207,149.0,29.0,92.0,2.0,2.0,12,0,150,75,35.0,B757-200,176,Long,Off_Peak,1
UA_1044_2025-08-01_ORD_LAX,UA,1044,2025-08-01,ORD,LAX,0.3546699603806217,55.56779640230465,69,87.87878787878788,Difficult,2.7777777777777777,0,0,1.0,0.6761904761904762,0.7333333333333333,0.01904761904761905,0.01904761904761905,0.06666666666666667,315,213.0,120.0,88.0,6.0,6.0,19,2,200,72,-1.0,B757-300,234,Medium,Midday,0
UA_1842_2025-08-01_ORD_SAN,UA,1842,2025-08-01,ORD,SAN,0.35462605121562957,55.560274980687026,70,87.70053475935828,Difficult,1.3709677419354838,0,0,1.0,0.5177865612648221,2.638888888888889,0.015810276679841896,0.015810276679841896,0.05928853754940711,253,131.0,36.0,95.0,4.0,4.0,12,3,85,62,24.0,A321-2NX,200,Medium,Evening_Peak,0
OO_5358_2025-08-01_ORD_CAK,OO,5358,2025-08-01,ORD,CAK,0.35390226679863335,55.436294309192434,71,87.5222816399287,Difficult,-0.3448275862068966,1,1,1.0,0.8269230769230769,4.375,0.019230769230769232,0.019230769230769232,0.038461538461538464,52,43.0,8.0,35.0,1.0,1.0,2,0,-10,29,35.0,CRJ-550,50,Medium,Midday,0
UA_1823_2025-08-01_ORD_IAH,UA,1823,2025-08-01,ORD,IAH,0.3538465722911167,55.42675411700492,72,87.34402852049911,Difficult,1.5441176470588236,0,0,1.0,0.5932203389830508,0.1523809523809524,0.0211864406779661,0.01694915254237288,0.0635593220338983,236,140.0,105.0,16.0,5.0,4.0,13,2,105,68,25.0,A321-2NX,200,Medium,Morning_Peak,0
